Neighborhood,Arrest_Count
Central Business District,4440
South Side Flats,3497
Carrick,2352
East Allegheny,2217
Homewood South,2090
Homewood North,1969
East Liberty,1889
Marshall-Shadeland,1516
Bluff,1502
Mount Washington,1434
Hazelwood,1396
Brookline,1390
Lincoln-Lemington-Belmar,1362
Knoxville,1336
Sheraden,1285
Allegheny Center,1244
Beechview,1201
East Hills,1194
Brighton Heights,1114
Perry South,1057
Bloomfield,984
Shadyside,971
Allentown,947
Middle Hill,932
Larimer,879
Central North Side,853
Crawford-Roberts,839
North Shore,814
Squirrel Hill South,812
South Side Slopes,801
Fineview,796
Homewood West,764
Garfield,722
Northview Heights,713
Spring Hill-City View,711
Bedford Dwellings,665
Elliott,663
Crafton Heights,601
Perry North,587
Highland Park,558
Greenfield,537
Central Oakland,521
Strip District,503
Beltzhoover,496
Manchester,471
North Oakland,455
Chateau,454
Troy Hill,439
Central Lawrenceville,431
Upper Hill,370
South Oakland,354
Overbrook,331
West Oakland,325
Outside City,316
California-Kirkbride,315
Arlington,312
Point Breeze,301
South Shore,301
Terrace Village,297
Banksville,291
Squirrel Hill North,290
West End,290
Point Breeze North,289
Lower Lawrenceville,272
Bon Air,267
Lincoln Place,227
Westwood,226
Stanton Heights,223
Spring Garden,219
Esplen,200
Duquesne Heights,191
Upper Lawrenceville,189
Morningside,188
Friendship,174
Glen Hazel,169
Polish Hill,166
Arlington Heights,155
Allegheny West,130
Fairywood,127
Mount Oliver,124
Windgap,124
Hays,120
Golden Triangle/Civic Arena,83
Oakwood,82
Summer Hill,76
Outside State,67
Outside County,57
St. Clair,55
East Carnegie,48
Chartiers City,46
Swisshelm Park,43
New Homestead,39
Ridgemont,37
Regent Square,37
Central Northside,23
Mt. Oliver Boro,18
Troy Hill-Herrs Island,6
Mt. Oliver Neighborhood,2
