Neighborhood,Incident_Count
Carrick,318
South Side Flats,304
Central Business District,297
Squirrel Hill South,272
Hazelwood,262
Mount Washington,233
East Liberty,224
Brookline,206
Homewood South,206
Lincoln-Lemington-Belmar,203
Knoxville,200
Shadyside,195
Homewood North,193
Bloomfield,187
Sheraden,180
Perry South,173
East Hills,164
Beechview,159
Brighton Heights,159
Bluff,155
Marshall-Shadeland,155
East Allegheny,141
Beltzhoover,140
Squirrel Hill North,138
North Oakland,136
Central Northside,136
Allentown,133
Larimer,128
Greenfield,127
Spring Hill-City View,117
Garfield,116
Crawford-Roberts,116
Perry North,115
South Side Slopes,112
Middle Hill,108
South Oakland,102
Central Oakland,101
Troy Hill,88
Terrace Village,87
North Shore,87
Crafton Heights,87
Manchester,83
Highland Park,82
Central Lawrenceville,79
Strip District,79
Elliott,74
Point Breeze,73
Lincoln Place,71
Northview Heights,67
Lower Lawrenceville,65
West Oakland,65
Homewood West,65
Stanton Heights,63
Allegheny Center,63
Overbrook,62
Banksville,62
Upper Lawrenceville,56
Arlington,54
Upper Hill,52
Point Breeze North,52
Fineview,50
Bedford Dwellings,48
Chateau,44
California-Kirkbride,43
Allegheny West,43
Duquesne Heights,42
Polish Hill,40
Morningside,37
Friendship,33
Westwood,28
Fairywood,27
South Shore,27
Spring Garden,26
Hays,24
Windgap,24
West End,23
Esplen,23
Bon Air,22
New Homestead,22
Summer Hill,21
Glen Hazel,20
Chartiers City,18
Swisshelm Park,17
St. Clair,15
Arlington Heights,13
Oakwood,13
Mt. Oliver,12
Ridgemont,12
East Carnegie,11
Regent Square,9
Mount Oliver Borough,7
